2018-02-25 17:52:30.684327: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:30.862259: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.60GiB
2018-02-25 17:52:30.862294: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 168000	loss: 5.446	valid ppl: 407.440	test ppl: 375.526
iter: 169000	loss: 4.898	valid ppl: 403.919	test ppl: 374.322
iter: 170000	loss: 4.819	valid ppl: 403.010	test ppl: 373.777
iter: 171000	loss: 5.122	valid ppl: 406.529	test ppl: 376.159
iter: 172000	loss: 4.865	valid ppl: 407.162	test ppl: 372.960
iter: 173000	loss: 4.979	valid ppl: 409.471	test ppl: 374.914
iter: 174000	loss: 4.778	valid ppl: 413.895	test ppl: 377.605
iter: 175000	loss: 5.222	valid ppl: 413.575	test ppl: 379.184
iter: 176000	loss: 4.374	valid ppl: 417.488	test ppl: 383.381
iter: 177000	loss: 4.982	valid ppl: 415.767	test ppl: 380.611
iter: 178000	loss: 5.011	valid ppl: 414.714	test ppl: 384.380
iter: 179000	loss: 3.204	valid ppl: 405.005	test ppl: 374.620
iter: 180000	loss: 5.100	valid ppl: 412.801	test ppl: 380.299
iter: 181000	loss: 4.985	valid ppl: 411.455	test ppl: 379.644
iter: 182000	loss: 5.483	valid ppl: 418.974	test ppl: 383.891
iter: 183000	loss: 4.464	valid ppl: 418.010	test ppl: 385.671
iter: 184000	loss: 4.626	valid ppl: 427.569	test ppl: 395.116
iter: 185000	loss: 6.095	valid ppl: 420.999	test ppl: 387.872
iter: 186000	loss: 5.587	valid ppl: 426.474	test ppl: 391.024
iter: 187000	loss: 5.387	valid ppl: 420.183	test ppl: 386.349
